Date,eps,sps,prof_mar,lgro,roic,ninc,gmar,cfo,cf,sg,fpe,fpb,pe,pb,mom,cfni,art,ar,goodwill,leve,tar,rc,inv_turn,spread,quick,a_turn
3/31/2011,0.049075269,0.029944282,-0.01566154,0.052747723,0.10418261,-0.021184451,0.135769469,-0.009019717,0.02052594,-0.015647126,0.07038246,-0.074634729,0.229443547,0.095450279,-0.062923923,-0.013140784,0.056359738,0.056359738,0.037214284,0.079818322,-0.114690559,0.013625577,0.015423639,,0.016151997,0.108746081
4/30/2011,0.127748929,0.083799524,0.090568462,2.63E-05,0.108836674,0.018315078,0.151354676,0.040152863,-0.003553107,-0.062170701,-0.005543584,0.023554088,-0.00151692,-0.167625019,-0.165539346,-0.013342802,-0.030545368,-0.030545368,0.021287513,0.05227717,-0.072627729,0.042031996,-0.062403597,,0.011486379,0.103183916
5/31/2011,0.091547431,0.095306224,-0.007895979,-0.026729825,0.094770538,-0.031473985,0.230242291,0.124986206,0.035077041,-0.025072086,0.138872766,-0.00788904,-0.353612918,0.012069244,-0.112839378,-0.018293505,-0.043588594,-0.043588594,0.162647431,0.129227159,0.02647456,0.01626753,0.023454426,,0.014796611,0.065767456
6/30/2011,0.132217836,0.130219331,0.047117942,-0.020235649,0.088296109,0.002320471,0.04049065,-0.023657678,0.008641904,-0.057898662,0.026823666,-0.001362751,0.019152672,-0.142699952,0.027458418,-0.128865056,0.008725117,0.008725117,0.010675915,-0.08796275,-0.072447245,-0.003787262,0.103355559,,-0.022154811,0.04057602
7/31/2011,0.121826714,0.095271926,0.130384388,0.027587667,0.087288854,-0.051926785,0.082082934,0.065040791,0.009678509,0.116985473,0.020934672,0.084614849,0.027932602,0.119088954,0.164785186,0.002506594,-5.98E-05,-5.98E-05,-0.240307184,0.082260103,0.152269949,0.017994248,0.060211989,,-0.082845288,0.013938824
8/31/2011,0.18527447,0.174582139,0.037603222,-0.12897517,0.114051058,0.049838307,0.267215293,-0.014748803,0.016922259,-0.002267099,0.090216094,-0.041539003,-0.26813282,0.072789054,0.287926963,-0.032771531,0.037727545,0.037727545,0.092902239,0.087718923,-0.115874035,-0.091413261,-0.141658191,,0.052116937,0.078837816
9/30/2011,0.074872238,0.054435735,-0.03906013,-0.174670178,0.086517537,-0.032484029,0.182944726,-0.022445926,0.009987243,-0.213897279,0.110968208,0.057259621,0.059377024,0.051485759,0.344869595,-0.025694729,0.07277622,0.07277622,0.043719998,-0.029727852,-0.03614685,-0.087436898,-0.036615211,,0.023856261,0.042848375
10/31/2011,-0.026257222,-0.049534877,-0.016537369,0.203698733,-0.040345851,0.018519185,-0.148606265,0.014996401,0.002205862,0.184500388,-0.126813609,-0.006316024,0.25636478,-0.176832942,-0.393365401,0.003593744,-0.039830737,-0.039830737,-0.096276503,-0.084515209,0.031674939,0.159066083,-0.056299508,,0.094820198,0.002129192
11/30/2011,0.036703835,0.014477493,0.068972007,0.004941012,0.035334062,-0.022904951,0.078168311,0.079349061,0.014739734,-0.01542064,0.040080357,0.045791703,-0.393083077,-0.139668849,0.140989858,-0.091209167,0.106648341,0.106648341,0.041078596,-0.003593311,-0.045008035,0.074991388,-0.057832992,,-0.025268038,0.033397589
12/31/2011,-0.051698295,-0.140388168,-0.014452797,-0.117840235,-0.008769368,0.040792232,-0.061020087,-0.0308611,-0.000907487,-0.180788451,0.022155026,-0.027955537,-0.580069097,0.041573894,0.122560962,-0.101445534,0.056963448,0.056963448,0.02945439,0.145485002,-0.124127687,-0.056638535,0.072101243,,-0.034187306,-0.049090184
