Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cfo,cfo,cf,cf,sg,sg,mom,mom,pe,pe,pb,pb
2002/2/28,0.039272547,-0.031329196,-0.098760815,-0.063552659,-0.021617331,-0.138998067,-0.026243555,-0.166833917,-0.053020632,0.083457452,0.084092037,0.012323937,-0.047081032,-0.153478264,-0.228889082,-0.102131713,-0.586542657,-0.662380285,0.025167872,-0.007206731,0.057804646,-0.267192656
2002/3/28,-0.29963157,-0.250919924,-0.435756265,-0.30852593,-0.060534126,0.221227729,-0.033609729,0.067219018,-0.081457467,0.142960624,-0.385350769,-0.259074207,0.365770452,0.0059064,-0.302651149,0.009484628,0.331300132,0.622269451,-0.11328419,-0.023834097,0.011989166,-0.215426802
2002/4/30,-0.199802635,-0.073416978,-0.307462483,-0.323555955,0.255953076,0.21353432,0.093740271,0.016152335,0.128136538,0.022630072,-0.272043349,-0.326426125,-0.043176564,-0.038013021,-0.33050907,-0.060512272,0.28501291,0.415488916,-0.143972678,0.003141436,-0.066815168,-0.189887691
2002/5/31,0.177729149,0.321286329,0.151953943,0.404379122,-0.055935359,-0.079739254,0.077118444,0.030200088,-0.089183928,-0.080243239,0.168157672,-0.000628597,-0.120130605,0.036319755,0.106936833,0.113694321,-0.207990214,-0.471438906,-0.00274364,-0.010084159,-0.035067344,-0.072069436
2002/6/28,-0.338789261,-0.011551586,-0.251148202,-0.095553201,0.139333907,0.29707836,-0.01311103,0.090199588,-0.073474957,0.275728348,-0.323996312,-0.141209086,-0.004114685,-0.077012924,-0.213044437,-0.164015465,0.20713987,0.370698122,0.064396525,-0.094110216,-0.030742117,0.045732941
2002/7/31,-0.253017521,0.08227579,-0.215281403,-0.047069605,-0.049100675,0.237594468,-0.063961513,0.145884751,-0.073570145,0.230572082,-0.092002231,-0.215045218,-0.149205397,0.008012698,-0.275042908,-0.136349096,0.134145538,0.265432937,-0.019881232,0.089093121,-0.113140542,0.060623385
2002/8/30,-0.245841839,-0.094431148,-0.24895036,-0.345341287,0.003547091,0.219766781,0.005532581,0.103634127,-0.036218099,0.023695272,-0.137272144,-0.08932071,0.108172753,-0.047004932,-0.077416169,-0.007159164,0.334858308,0.112959397,-0.086825007,-0.092917002,-0.089523463,-0.069865612
2002/9/30,-0.2098789,0.064185858,-0.449597145,-0.342639314,0.137669532,0.291308697,-0.016159994,0.190067422,0.006777762,0.063386733,-0.16917712,0.071114065,0.124518825,0.221659376,0.116699949,-0.056462033,0.448370763,0.350490647,0.064466035,0.010700471,0.009437533,-0.0122032
2002/10/31,-0.032016736,0.022435412,-0.274523737,-0.152989264,0.246580466,0.065449128,-0.014049027,0.063947802,-0.164260019,-0.027825279,-0.353868807,-0.141293437,0.007883365,0.106827837,0.121642634,0.021435476,0.479908614,0.283283241,0.123080914,-0.036969832,0.015865308,0.114680502
2002/11/29,0.012187331,-0.10757443,0.194078563,0.064263953,-0.249418293,-0.28472939,-0.12390496,-0.04183561,-0.003384679,-0.097663801,0.334730719,0.09665638,0.005945221,0.125418119,-0.177815543,-0.356997995,-0.214806343,-0.394993351,-0.014020455,0.028261582,-0.045733787,-0.017946132
