Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cf,cf,sg,sg,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
2007/7/31,0.076455052,0.361641137,0.039597418,0.213951615,0.049760298,0.068480374,-0.058093635,0.069662243,0.025129017,-0.137587115,0.009840719,0.165877483,0.196761538,0.221896146,0.130260223,0.071151654,0.214563712,-0.045240648,-0.209662144,-0.00978704,-0.008026622,-0.189171702,0.092830144,-0.037554872,-0.057054036,0.089954282
2007/8/31,0.139427304,-0.058842598,0.084966304,0.02586872,0.279716863,-0.01309937,0.051416985,-0.193185526,0.081766933,-0.050794669,-0.020085658,0.130631814,0.228628525,-0.077852202,0.037816114,0.107462287,0.113773749,0.113220358,-0.304851045,0.053565212,0.025400705,-0.201240419,0.010664813,0.065999637,-0.111691484,0.000284345
2007/9/28,0.150455386,0.183297322,0.14286635,0.216444437,0.160935192,0.123597116,0.129002451,0.074129247,-0.023469317,0.154562246,-0.004762824,0.15331012,0.211036029,0.249621568,0.335757948,0.377426093,0.145792006,0.252341488,-0.127441619,-0.063969901,0.013486171,-0.076754242,0.007494937,0.146427614,-0.365760292,0.012348335
2007/10/31,0.195176542,0.105129472,-0.019152756,0.114112466,0.248778771,0.065543445,0.063305616,-0.117408485,0.115970342,0.127011843,0.092491716,-0.042578152,-0.020688595,0.286492567,0.16902583,0.03243981,0.024417973,0.092715123,0.076802381,0.021206619,-0.004692771,-0.157881284,-0.251426933,0.109481584,0.131711906,-0.086366625
2007/11/30,0.048746764,-0.049290269,-0.066956982,-0.305826084,0.157025557,0.010413844,0.237875518,-0.116174613,0.059024012,0.070261368,0.100649629,-0.002817965,0.154716466,-0.270515383,0.265335292,0.01707705,0.004386889,0.037192982,-0.050815421,-0.02862001,-0.28785135,0.13863541,-0.117186064,-0.128754201,-0.006649402,-0.020897881
2007/12/31,0.242927721,0.349109909,0.000535415,0.014510257,0.081515476,0.086591716,0.206813637,-0.015831299,-0.065248353,0.029263803,0.06757883,0.046046471,0.087680211,0.094450487,0.492487407,0.386672388,-0.035350907,-0.045144514,-0.093030475,0.013240535,-0.087414372,-0.166649072,0.028188604,-0.012272035,0.014824663,0.055317321
2008/1/31,-0.309561165,-0.304396021,-0.035447947,-0.087215179,-0.099322347,-0.064743169,-0.204994273,0.017993845,-0.137794176,0.066875034,0.002402479,0.056625196,-0.078829782,-0.241904158,-0.597794028,-0.338162964,-0.099761589,-0.005361098,0.161208636,0.10779495,0.116329958,0.101926019,-0.062246588,-0.041098958,-0.111061149,0.113953001
2008/2/29,0.391680064,0.012636605,0.125933544,0.000595679,0.298904822,0.046022861,0.195439846,-0.008673788,0.092812014,0.163966507,0.076469095,0.029599529,0.095447401,-0.048511279,0.439866215,-0.009512185,0.108465909,-0.049726619,-0.129149912,-0.232381854,-0.247077013,0.039538146,0.054136295,-0.053969722,0.083044182,-0.218847383
2008/3/31,0.035825103,-0.103220039,-0.147797155,-0.006887683,0.335796054,-0.084487887,0.042113749,-0.186475642,-0.013147821,0.039019593,0.061385651,-0.034212164,-0.061629109,-0.000590643,0.275545212,-0.11914246,-0.0103348,-0.085798929,0.028406081,0.163501225,-0.008576037,0.168536448,-0.012737618,0.080171934,-0.049221788,0.026453138
2008/4/30,-0.129396362,0.246783791,-0.024382248,0.17167718,-0.008339176,0.033053907,-0.10742732,-0.03896956,0.008914022,0.027383774,-0.082077889,0.18363575,0.078562049,0.226133115,-0.020776422,-0.18153753,0.053829989,0.080389903,0.153778861,-0.018392049,-0.027030833,-0.02466382,0.069257547,0.215524206,-0.025537543,0.006385359
2008/5/30,0.180906311,0.145728814,-0.006405269,-0.039972253,0.000263089,0.079762984,0.098091716,-0.036839734,0.094164227,-0.013102553,0.134674894,-0.107413877,0.137946175,0.018468237,0.180445402,-0.130104071,0.114686373,-0.004821049,-0.165402671,0.069647056,-0.169485872,-0.128333436,0.108091881,0.174460251,0.204471314,-0.039861895
2008/6/30,0.242403195,0.128908322,-0.03075424,0.130808495,0.08458357,-0.011774123,0.129697088,-0.064037495,0.044735689,0.206794976,0.067744327,0.103506434,0.038228255,0.225022181,0.378526309,0.570314331,0.101667767,0.034246583,-0.076511486,0.059112363,-0.129529736,-0.109254223,-0.056345121,-0.130196676,0.176275695,-0.086602177
2008/7/31,-0.11594044,-0.012304874,-0.079395605,-0.003848146,0.153533851,0.140572752,-0.055616904,0.057564701,0.07834676,-0.145527188,-0.061097458,-0.019079999,0.042768521,-0.212162624,-0.117910806,-0.300437909,-0.155014808,-0.131185929,-0.020869796,-0.006648174,-0.0619301,0.006963981,-0.036579091,0.045913928,-0.217921713,0.053481269
2008/8/29,0.050438661,-0.01606594,0.047450193,-0.013727476,0.14799939,0.11141747,-0.053061023,-0.061517919,0.217909496,-0.104109272,0.008749464,0.012588174,0.432796342,-0.122351034,-0.078962862,-0.218875768,0.107129265,-0.063260268,0.217914429,-0.061488028,0.076200372,-0.097104381,-0.119172501,-0.058626154,-0.009327373,0.153303597
2008/9/30,-0.196574546,-0.397673406,-0.171696322,-0.286379355,0.120032437,0.012013002,-0.134960709,-0.179165523,-0.088357702,-0.151453029,-0.083024551,-0.207788886,-0.079749049,-0.320929627,0.049523761,0.029037354,0.053064045,-0.029600701,0.092094836,0.037715572,0.060449971,0.252907065,-0.180644857,-0.223557137,-0.061804173,-0.001945819
