Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
2000/3/31,-0.222679758,-0.155579402,-0.185366944,-0.351526694,-0.410167071,-0.306759609,-0.010566961,0.118105447,0.146691634,-0.008370347,0.034870118,-0.041380839,-0.157018401,-0.242329854,-0.054693867,0.023375047
2000/4/28,-0.163995103,-0.161795237,-0.057534421,-0.228134361,-0.441187012,-0.121126366,0.061129278,0.094304007,0.063656419,-0.2433034,0.196373278,0.165143216,-0.329066863,-0.181669567,0.100378918,-0.029502654
2000/5/31,-0.071721671,-0.143394567,0.015844685,-0.281218437,-0.485822691,-0.307228084,0.090982068,0.0232736,0.013829269,-0.039525218,-0.053360723,0.214628606,-0.288008413,-0.052078817,-0.119063205,-0.140516468
2000/6/30,0.08307699,0.397446901,0.023211478,0.578970846,0.109594931,0.330572249,-0.045358897,0.095085591,-0.032917114,-0.133067609,-0.091375658,-0.277682579,0.201240392,0.488556739,-0.080416082,0.080045225
2000/7/31,-0.177766428,-0.133422194,-0.090818962,-0.077307255,-0.028187276,-0.235548281,0.00233394,-0.09475055,-0.018989155,0.053692147,0.090490249,0.202693873,-0.037239251,-0.289409348,-0.157786513,-0.02661901
2000/8/31,-0.065497778,0.192670227,-0.109715994,0.121604203,-0.045139579,0.260372316,-0.01359619,-0.011376982,-0.095644664,-0.37027948,-0.26816903,-0.010797154,0.107552207,0.300633649,-0.07582176,-0.342910669
2000/9/29,-0.061514625,0.014662142,0.088264006,0.016488591,0.360752217,0.118416096,-0.037494705,-0.083398878,0.163649959,0.036745846,0.109966661,0.268000676,-0.075768541,-0.278805994,-0.009535392,0.008700988
2000/10/31,-0.175070359,-0.086975606,-0.019731799,-0.184711493,0.139171981,0.001349426,0.036353162,0.012600521,0.096092769,0.184605581,0.045063246,0.103544168,-0.191881501,-0.312278351,0.203356982,0.182341693
2000/11/30,0.05242768,-0.186037278,0.133430256,-0.56268315,0.263594901,-0.12064704,0.122700853,0.064138603,-0.016972142,0.075330013,0.180094289,0.357541799,-0.045220663,-0.606210424,0.103334167,0.01285166
2000/12/29,-0.096130831,-0.0471057,-0.001527048,-0.165847499,0.118063294,0.046397197,0.089767422,0.006778885,-0.058007032,-0.02670963,-0.060748496,0.252296033,-0.058773427,-0.037755368,-0.002503202,-0.081488722
2001/1/31,0.060751324,0.019257298,-0.01227623,-0.114075982,-0.686922112,-0.585824652,0.0552309,-0.019116728,-0.184226454,0.115460796,-0.149600735,-0.226098411,0.157563443,0.198264161,-0.0723304,0.237048324
2001/2/28,-0.173742454,-0.051722321,0.039595795,-0.44325632,0.313238859,0.579847944,0.098008072,0.034412186,0.160683797,0.143202827,0.265943309,0.446217736,-0.396448608,-0.638451928,0.040694773,-0.087464554
